pixel_id,x,y,acc,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
104,3,20,0.9381428571428572,0.04169769173492177,0.028750000000000053,0.07101449275362315,0.09979064898813672,0.05945945945945941,0.05655930871956005,0.03796561604584525,0.05322687957418493,0.09432571849668381,0.0795774647887324
105,3,21,0.9471428571428572,0.04020848845867464,0.03374999999999995,0.05724637681159417,0.05652477320307048,0.09034749034749034,0.0408483896307934,0.03295128939828085,0.02727877578176985,0.06558585114222548,0.08943661971830985
106,3,22,0.9412142857142857,0.023827252419955314,0.034375000000000044,0.05434782608695654,0.08443824145150036,0.05945945945945941,0.0408483896307934,0.05229226361031514,0.07717897538256824,0.075165806927045,0.08450704225352113
107,3,23,0.9433571428571429,0.028294862248696928,0.02375000000000005,0.05797101449275366,0.052337752965806006,0.043243243243243246,0.05184603299293011,0.04871060171919772,0.041916167664670656,0.09432571849668381,0.12746478873239442
108,3,24,0.9507857142857142,0.034251675353685784,0.020625000000000004,0.06594202898550727,0.05443126308443824,0.049420849420849455,0.04477611940298509,0.027220630372492782,0.05721889554224879,0.075165806927045,0.06619718309859157
109,3,25,0.949,0.03052866716306779,0.025000000000000022,0.05579710144927541,0.07327285415212836,0.05637065637065641,0.0463472113118617,0.028653295128939882,0.07784431137724546,0.06558585114222548,0.051408450704225395
110,3,26,0.9469285714285715,0.036485480268056536,0.018750000000000044,0.09565217391304348,0.0635031402651779,0.0517374517374517,0.06441476826394343,0.02005730659025784,0.044577511643379863,0.07885040530582166,0.06338028169014087
111,3,27,0.9475714285714286,0.04169769173492177,0.036250000000000004,0.05362318840579705,0.05024424284717377,0.038610038610038644,0.05655930871956005,0.024355300859598805,0.05189620758483038,0.08179808400884303,0.0908450704225352
112,4,0,0.9504285714285714,0.046165301563663386,0.025000000000000022,0.06304347826086953,0.04466154919748777,0.04169884169884175,0.06598586017282015,0.035100286532951275,0.029940119760479056,0.05084745762711862,0.09859154929577463
113,4,1,0.9423571428571429,0.04690990320178701,0.028124999999999956,0.050000000000000044,0.07885554780181436,0.03938223938223939,0.05655930871956005,0.035100286532951275,0.11111111111111116,0.06705969049373617,0.061267605633802846
114,4,2,0.9459285714285715,0.025316455696202556,0.03374999999999995,0.05652173913043479,0.05443126308443824,0.05868725868725866,0.06755695208169676,0.03080229226361031,0.0858283433133733,0.075165806927045,0.054225352112676095
115,4,3,0.9515714285714286,0.023827252419955314,0.02937500000000004,0.05797101449275366,0.06699232379623166,0.04478764478764474,0.04477611940298509,0.04154727793696278,0.0359281437125748,0.08253500368459843,0.05915492957746482
116,4,4,0.9469285714285715,0.0387192851824274,0.026249999999999996,0.036956521739130443,0.08164689462665731,0.055598455598455554,0.04241948153967012,0.03939828080229224,0.05056553559547572,0.07811348563006637,0.08309859154929577
117,4,5,0.9510714285714286,0.0387192851824274,0.025000000000000022,0.06956521739130439,0.07397069085833918,0.05945945945945941,0.04320502749410837,0.03939828080229224,0.04923486360612106,0.04421518054532059,0.04929577464788737
118,4,6,0.9453571428571429,0.023827252419955314,0.02312499999999995,0.05217391304347829,0.09002093510118636,0.06409266409266412,0.08641005498821686,0.035100286532951275,0.043246839654025315,0.06337509211495951,0.07183098591549297
119,4,7,0.9417857142857143,0.034996276991809405,0.03562500000000002,0.08405797101449275,0.07606420097697142,0.06872586872586872,0.06441476826394343,0.04154727793696278,0.07318695941450437,0.056742815033161365,0.04929577464788737
120,4,8,0.9453571428571429,0.03350707371556216,0.03374999999999995,0.08043478260869563,0.07676203768318213,0.04478764478764474,0.04163393558523176,0.043696275071633206,0.056553559547571575,0.037582903463522443,0.0964788732394366
121,4,9,0.9547142857142857,0.021593447505584562,0.014375000000000027,0.07463768115942027,0.06280530355896718,0.04478764478764474,0.04948939512961503,0.025071633237822355,0.043912175648702645,0.06190125276344882,0.058450704225352146
122,4,10,0.9532857142857143,0.023082650781831693,0.026249999999999996,0.0304347826086957,0.057920446615492005,0.05714285714285716,0.03299293008641002,0.022206303724928378,0.042581503659347986,0.10022107590272655,0.0767605633802817
123,4,11,0.9428571428571428,0.03946388682055102,0.04249999999999998,0.07391304347826089,0.06280530355896718,0.04478764478764474,0.04948939512961503,0.044412607449856756,0.05921490352628078,0.05453205600589539,0.0992957746478873
124,4,12,0.9411428571428572,0.044676098287416255,0.02937500000000004,0.07608695652173914,0.07117934403349613,0.07722007722007718,0.05655930871956005,0.025787965616045794,0.05854956753160345,0.08621960206337509,0.0683098591549296
125,4,13,0.9518571428571428,0.034251675353685784,0.03500000000000003,0.04637681159420293,0.07885554780181436,0.08725868725868724,0.04477611940298509,0.022922636103151817,0.05322687957418493,0.0427413411938099,0.03873239436619713
126,4,14,0.9445,0.0387192851824274,0.015000000000000013,0.062318840579710155,0.0872295882763433,0.0455598455598456,0.058130400628436774,0.05014326647564471,0.06520292747837653,0.0648489314664702,0.0711267605633803
127,4,15,0.9447857142857143,0.04244229337304539,0.024375000000000036,0.08913043478260874,0.04466154919748777,0.07799227799227804,0.06362922230950507,0.0386819484240688,0.06187624750498999,0.040530582166543816,0.07464788732394367
128,4,16,0.9458571428571428,0.02010424422933732,0.03312499999999996,0.07028985507246377,0.06908583391486389,0.049420849420849455,0.03692065985860171,0.04727793696275073,0.04657351962741185,0.08253500368459843,0.08661971830985915
